rank;name;kp_rating;imdb_rating;year;url;_utc_timestamp
500;Броненосец «Потемкин»;7.936;8.0;1925;https://www.kinopoisk.ru/film/481/;2019-12-10 15:10:07
499;Золушка;7.982;7.6;1947;https://www.kinopoisk.ru/film/45398/;2019-12-10 15:10:07
498;Коты-аристократы;8.081;7.1;1970;https://www.kinopoisk.ru/film/26656/;2019-12-10 15:10:07
497;Старая, старая сказка;8.071;7.5;1968;https://www.kinopoisk.ru/film/43974/;2019-12-10 15:10:07
496;Когда деревья были большими;8.027;7.7;1961;https://www.kinopoisk.ru/film/44838/;2019-12-10 15:10:07
495;Бег;8.068;7.8;1970;https://www.kinopoisk.ru/film/46047/;2019-12-10 15:10:07
494;Ушедшие;8.077;8.1;2008;https://www.kinopoisk.ru/film/391762/;2019-12-10 15:10:07
493;В августе 44-го;7.885;7.5;2001;https://www.kinopoisk.ru/film/41381/;2019-12-10 15:10:07
492;Беглецы;7.941;7.1;1986;https://www.kinopoisk.ru/film/20897/;2019-12-10 15:10:07
491;Простая история;7.825;8.0;1999;https://www.kinopoisk.ru/film/442/;2019-12-10 15:10:07
490;Тренировочный день;7.831;7.7;2001;https://www.kinopoisk.ru/film/863/;2019-12-10 15:10:07
489;Эквилибриум;7.894;7.4;2002;https://www.kinopoisk.ru/film/309/;2019-12-10 15:10:07
488;Война и мир: Андрей Болконский;8.034;8.2;1965;https://www.kinopoisk.ru/film/45817/;2019-12-10 15:10:07
487;Класс;7.814;7.9;2007;https://www.kinopoisk.ru/film/320230/;2019-12-10 15:10:07
486;Босоногий Гэн;8.012;8.0;1983;https://www.kinopoisk.ru/film/252330/;2019-12-10 15:10:07
485;Лоуренс Аравийский;8.02;8.3;1962;https://www.kinopoisk.ru/film/347/;2019-12-10 15:10:07
484;Ведьмина служба доставки;8.042;7.9;1989;https://www.kinopoisk.ru/film/2428/;2019-12-10 15:10:07
483;Вторая жизнь Уве;7.878;7.7;2015;https://www.kinopoisk.ru/film/848894/;2019-12-10 15:10:07
482;Море внутри;7.814;8.0;2004;https://www.kinopoisk.ru/film/41830/;2019-12-10 15:10:07
481;Холодная гора;7.847;7.2;2003;https://www.kinopoisk.ru/film/1942/;2019-12-10 15:10:07
480;"Трамвай &laquo;Желание&raquo;";8.029;8.0;1951;https://www.kinopoisk.ru/film/486/;2019-12-10 15:10:07
479;Непрощенный;7.848;8.2;1992;https://www.kinopoisk.ru/film/451/;2019-12-10 15:10:07
478;Токийская повесть;8.034;8.2;1953;https://www.kinopoisk.ru/film/79836/;2019-12-10 15:10:07
477;За пригоршню долларов;8.019;8.0;1964;https://www.kinopoisk.ru/film/8455/;2019-12-10 15:10:07
476;Король Лир;8.089;8.1;1970;https://www.kinopoisk.ru/film/44924/;2019-12-10 15:10:07
475;Золушка;8.046;7.3;1949;https://www.kinopoisk.ru/film/8231/;2019-12-10 15:10:07
474;За бортом;7.992;6.9;1987;https://www.kinopoisk.ru/film/16115/;2019-12-10 15:10:07
473;Чёрный лебедь;7.731;8.0;2010;https://www.kinopoisk.ru/film/278273/;2019-12-10 15:10:07
472;Звёздные войны: Эпизод 1 – Скрытая угроза;7.901;6.5;1999;https://www.kinopoisk.ru/film/6695/;2019-12-10 15:10:07
471;Безумный Макс: Дорога ярости;7.813;8.1;2015;https://www.kinopoisk.ru/film/453406/;2019-12-10 15:10:07
470;Телохранитель;8.011;8.2;1961;https://www.kinopoisk.ru/film/445/;2019-12-10 15:10:07
469;Ищите женщину  (ТВ);8.161;7.9;1982;https://www.kinopoisk.ru/film/77277/;2019-12-10 15:10:07
468;Человек-паук: Через вселенные;7.985;8.4;2018;https://www.kinopoisk.ru/film/920265/;2019-12-10 15:10:07
467;Триумф;7.842;7.4;2005;https://www.kinopoisk.ru/film/77795/;2019-12-10 15:10:07
466;Солярис;8.014;8.1;1972;https://www.kinopoisk.ru/film/43911/;2019-12-10 15:10:07
465;Большой;7.915;7.3;1988;https://www.kinopoisk.ru/film/4688/;2019-12-10 15:10:07
464;Подозрительные лица;7.859;8.5;1995;https://www.kinopoisk.ru/film/340/;2019-12-10 15:10:07
463;Волшебная страна;7.879;7.7;2004;https://www.kinopoisk.ru/film/4511/;2019-12-10 15:10:07
462;Звуки музыки;8.053;8.0;1965;https://www.kinopoisk.ru/film/7665/;2019-12-10 15:10:07
461;Три плюс два;8.028;7.4;1963;https://www.kinopoisk.ru/film/46792/;2019-12-10 15:10:07
460;Афоня;8.03;7.9;1975;https://www.kinopoisk.ru/film/43423/;2019-12-10 15:10:07
459;Бэтмен: Начало;7.906;8.2;2005;https://www.kinopoisk.ru/film/47237/;2019-12-10 15:10:07
458;Жизнь как чудо;7.887;7.6;2004;https://www.kinopoisk.ru/film/48555/;2019-12-10 15:10:07
457;Что гложет Гилберта Грейпа?;7.934;7.8;1993;https://www.kinopoisk.ru/film/4466/;2019-12-10 15:10:07
456;Терминатор;7.972;8.0;1984;https://www.kinopoisk.ru/film/507/;2019-12-10 15:10:07
455;Мачеха;8.093;7.2;1973;https://www.kinopoisk.ru/film/46494/;2019-12-10 15:10:07
454;Тихий Дон;8.132;7.8;1957;https://www.kinopoisk.ru/film/42248/;2019-12-10 15:10:07
453;Варвара-краса, длинная коса;8.06;7.3;1970;https://www.kinopoisk.ru/film/45665/;2019-12-10 15:10:07
452;Перед рассветом;7.93;8.1;1995;https://www.kinopoisk.ru/film/18368/;2019-12-10 15:10:07
451;Остров собак;8.095;7.9;2018;https://www.kinopoisk.ru/film/939785/;2019-12-10 15:10:07
450;Перл-Харбор;7.92;6.2;2001;https://www.kinopoisk.ru/film/1957/;2019-12-10 15:10:07
449;Сладкая жизнь;8.01;8.0;1960;https://www.kinopoisk.ru/film/7722/;2019-12-10 15:10:07
448;Небо над Берлином;7.931;8.0;1987;https://www.kinopoisk.ru/film/8403/;2019-12-10 15:10:07
447;Невозможное;7.901;7.6;2012;https://www.kinopoisk.ru/film/518037/;2019-12-10 15:10:07
446;Гарри Поттер и Тайная комната;8.032;7.4;2002;https://www.kinopoisk.ru/film/688/;2019-12-10 15:10:07
445;В поисках Немо;7.867;8.1;2003;https://www.kinopoisk.ru/film/7908/;2019-12-10 15:10:07
444;Области тьмы;7.981;7.4;2011;https://www.kinopoisk.ru/film/462606/;2019-12-10 15:10:07
443;Зеркало;8.07;8.1;1974;https://www.kinopoisk.ru/film/45275/;2019-12-10 15:10:07
442;Жить;8.136;8.3;1952;https://www.kinopoisk.ru/film/64131/;2019-12-10 15:10:07
441;На войне как на войне;8.222;7.9;1968;https://www.kinopoisk.ru/film/46285/;2019-12-10 15:10:07
440;Великий Гэтсби;7.939;7.3;2013;https://www.kinopoisk.ru/film/463724/;2019-12-10 15:10:07
439;В лес, где мерцают светлячки;8.247;7.9;2011;https://www.kinopoisk.ru/film/635553/;2019-12-10 15:10:07
438;Осенний марафон;7.999;7.9;1979;https://www.kinopoisk.ru/film/42799/;2019-12-10 15:10:07
437;Олдбой;8.099;8.4;2003;https://www.kinopoisk.ru/film/75871/;2019-12-10 15:10:07
436;Город героев;7.926;7.8;2014;https://www.kinopoisk.ru/film/693126/;2019-12-10 15:10:07
435;Таинственная река;7.796;7.9;2003;https://www.kinopoisk.ru/film/3730/;2019-12-10 15:10:07
434;Освобождение: Направление главного удара;8.115;7.7;1970;https://www.kinopoisk.ru/film/46318/;2019-12-10 15:10:07
433;Девушка на мосту;7.863;7.6;1999;https://www.kinopoisk.ru/film/47397/;2019-12-10 15:10:07
432;Помни;7.869;8.4;2000;https://www.kinopoisk.ru/film/335/;2019-12-10 15:10:07
431;Город грехов;7.849;8.0;2005;https://www.kinopoisk.ru/film/77443/;2019-12-10 15:10:07
430;Война и мир;8.078;8.3;1965;https://www.kinopoisk.ru/film/38898/;2019-12-10 15:10:07
429;Мост Ватерлоо;8.043;7.8;1940;https://www.kinopoisk.ru/film/16759/;2019-12-10 15:10:07
428;Белорусский вокзал;8.064;7.9;1971;https://www.kinopoisk.ru/film/46063/;2019-12-10 15:10:07
427;Джон Ф. Кеннеди: Выстрелы в Далласе;7.873;8.0;1991;https://www.kinopoisk.ru/film/1107/;2019-12-10 15:10:07
426;Я шагаю по Москве;7.997;7.9;1963;https://www.kinopoisk.ru/film/42398/;2019-12-10 15:10:07
425;Фрида;7.911;7.4;2002;https://www.kinopoisk.ru/film/676/;2019-12-10 15:10:07
424;Игра по чужим правилам;7.867;7.2;2006;https://www.kinopoisk.ru/film/77423/;2019-12-10 15:10:07
423;Отверженные;7.901;7.6;2012;https://www.kinopoisk.ru/film/566055/;2019-12-10 15:10:07
422;Ребекка;7.961;8.1;1940;https://www.kinopoisk.ru/film/426/;2019-12-10 15:10:07
421;Охотник на оленей;7.952;8.1;1978;https://www.kinopoisk.ru/film/428/;2019-12-10 15:10:07
420;Такси;7.891;7.0;1998;https://www.kinopoisk.ru/film/14349/;2019-12-10 15:10:07
419;Бесславные ублюдки;7.884;8.3;2009;https://www.kinopoisk.ru/film/9691/;2019-12-10 15:10:07
418;Рокко и его братья;8.052;8.3;1960;https://www.kinopoisk.ru/film/13540/;2019-12-10 15:10:07
417;Одержимость;7.856;7.0;2004;https://www.kinopoisk.ru/film/23737/;2019-12-10 15:10:07
416;Грязные танцы;8.049;7.0;1987;https://www.kinopoisk.ru/film/1996/;2019-12-10 15:10:07
415;Как приручить дракона 2;7.921;7.8;2014;https://www.kinopoisk.ru/film/512883/;2019-12-10 15:10:07
414;М убийца;7.947;8.3;1931;https://www.kinopoisk.ru/film/373/;2019-12-10 15:10:07
413;История игрушек;7.894;8.3;1995;https://www.kinopoisk.ru/film/482/;2019-12-10 15:10:07
412;Освобождение: Огненная дуга;8.176;7.2;1968;https://www.kinopoisk.ru/film/94296/;2019-12-10 15:10:07
411;Цветок пустыни;7.957;7.4;2009;https://www.kinopoisk.ru/film/470769/;2019-12-10 15:10:07
410;Большая прогулка;8.096;8.0;1966;https://www.kinopoisk.ru/film/61815/;2019-12-10 15:10:07
409;Смертельное оружие;7.968;7.6;1987;https://www.kinopoisk.ru/film/15061/;2019-12-10 15:10:07
408;Беглец;7.888;7.8;1993;https://www.kinopoisk.ru/film/3915/;2019-12-10 15:10:07
407;Дом, в котором я живу;8.056;7.6;1957;https://www.kinopoisk.ru/film/44270/;2019-12-10 15:10:07
406;Робин Гуд;8.072;7.6;1973;https://www.kinopoisk.ru/film/17579/;2019-12-10 15:10:07
